Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
879,Geburtstagskind,SRF,2013-08-18,Flückiger und Ritschard,5,Moritz Gerber,Tobias Ineichen,
880,Gegen den Kopf,RBB,2013-09-08,Ritter und Stark,35,"Stephan Wagner, Frauke Hunfeld",Stephan Wagner,
881,Angezählt,ORF,2013-09-15,Eisner und Fellner,31,Martin Ambrosch,Sabine Derflinger,Grimme-Preis 2014
882,Freunde bis in den Tod,SWR,2013-10-06,Odenthal und Kopper,58,Harald Göckeritz,Nicolai Rohde,Open-Air Tatort-Vorpremiere am 4. Juli 2013 beim SWR-Sommerfestival
883,Die chinesische Prinzessin,WDR,2013-10-20,Thiel und Boerne,24,Orkun Ertener,Lars Jessen,
884,Aus der Tiefe der Zeit,BR,2013-10-27,Batic und Leitmayr,65,Bernd Schwamm,Dominik Graf,
885,Kalter Engel,MDR,2013-11-03,"Funck, Schaffert und Grewel",1,Thomas Bohn,Thomas Bohn,Erster Fall des neuen Teams aus Erfurt
886,Eine andere Welt,WDR,2013-11-17,"Faber, Bönisch, Dalay und Kossik",3,Jürgen Werner,Andreas Herzog,
887,Mord auf Langeoog,NDR,2013-11-24,Falke und Lorenz,2,"Max Eipp, Stefan Kornatz",Stefan Kornatz,"Uraufgeführt am 3. Oktober 2013 beim Filmfest Hamburg,[40] Team ermittelt auf Langeoog"
888,"Happy Birthday, Sarah",SWR,2013-12-01,Lannert und Bootz,13,Wolfgang Stauch,Oliver Kienle,Jupiter und Günter-Strack-Fernsehpreis an Ruby O. Fee
889,Schwindelfrei,HR,2013-12-08,Murot und Wächter,3,Justus von Dohnányi,Justus von Dohnányi,Team ermittelt in Fulda
890,Allmächtig,BR,2013-12-22,Batic und Leitmayr,66,"Gerlinde Wolf, Harald Göckeritz, Edward Berger",Jochen Alexander Freydank,
891,Die Fette Hoppe,MDR,2013-12-26,Lessing und Dorn,1,"Murmel Clausen, Andreas Pflüger",Franziska Meletzky,"Erster Fall des neuen Teams aus Weimar, Event-Tatort Weihnachten 2013, Team war ursprünglich einmalig geplant"
892,Borowski und der Engel,NDR,2013-12-29,Borowski und Brandt,22,Sascha Arango,Andreas Kleinert,Uraufgeführt am 27. Sep. 2013 beim Filmfest Hamburg.[41] Nominiert für den Grimme-Preis 2014
893,Türkischer Honig,MDR,2014-01-01,Saalfeld und Keppler,18,Andreas Pflüger,Christine Hartmann,
894,Der Eskimo,HR,2014-01-05,Steier,6,"Hendrik Handloegten, Achim von Borries",Achim von Borries,Uraufgeführt am 30. Sep. 2013 beim Filmfest Hamburg[42]
895,Franziska,WDR,2014-01-05,Ballauf und Schenk,58,Jürgen Werner,Dror Zahavi,Uraufgeführt am 29. Sep. 2013 bei der Cologne Conference. Letzte Folge mit Franziska Lüttgenjohann. Wurde aus Jugendschutzgründen erst ab 22 Uhr ausgestrahlt.[43]
896,Todesspiel,SWR,2014-01-19,Blum und Perlmann,26,Leo P. Ard,Jürgen Bretzinger,
897,Adams Alptraum,SR,2014-01-26,Stellbrink und Marx,3,"Lars Montag, Dirk Kämper",Hannu Salonen,
898,Auf ewig Dein,WDR,2014-02-02,"Faber, Bönisch, Dalay und Kossik",4,Jürgen Werner,Dror Zahavi,Gastauftritt von Florian Bartholomäi als „Markus Graf“
899,Großer schwarzer Vogel,RBB,2014-02-09,Ritter und Stark,36,"Titus Selge, Jochen Greve, Britta Stöckle",Alexander Dierbach,Letzter Fall für Hauptkommissar Till Ritter
900,Zirkuskind,SWR,2014-02-16,Odenthal und Kopper,59,Harald Göckeritz,Till Endemann,
901,Brüder,Radio Bremen/WDR,2014-02-23,Lürsen und Stedefreund,29,"Wilfried Huismann, Dagmar Gabler",Florian Baxmeyer,
902,Abgründe,ORF,2014-03-02,Eisner und Fellner,32,Uli Brée,Harald Sicheritz,
903,Kopfgeld,NDR,2014-03-09,Tschiller und Gümer,2,Christoph Darnstädt,Christian Alvart,
904,Frühstück für immer,MDR,2014-03-16,Saalfeld und Keppler,19,Katrin Bühlig,Claudia Garde,
905,Der Fall Reinhardt,WDR,2014-03-23,Ballauf und Schenk,59,Dagmar Gabler,Torsten C. Fischer,Uraufgeführt am 29. September 2013 beim Filmfest Hamburg[44]
906,Borowski und das Meer,NDR,2014-03-30,Borowski und Brandt,23,Christian Jeltsch,Sabine Derflinger,
907,Der Hammer,WDR,2014-04-13,Thiel und Boerne,25,Lars Kraume,Lars Kraume,
908,Zwischen zwei Welten,SRF,2014-04-21,Flückiger und Ritschard,6,"Eveline Stähelin, Josy Meier",Michael Schaerer,
909,Kaltstart,NDR,2014-04-27,Falke und Lorenz,3,"Raimund Maessen, Volker Krappen",Marvin Kren,"Team verlässt das LKA Hamburg: Erstmals Tatort-Ermittlungen für die Bundespolizei, Team ermittelt in Wilhelmshaven"
910,Am Ende des Flurs,BR,2014-05-04,Batic und Leitmayr,67,"Catharina Schuchmann, Max Färberböck",Max Färberböck,Assistent Kalli Hammermann (Ferdinand Hofer) und Fallanalytikerin Christine Lerch (Lisa Wagner) ergänzen das Team
911,Ohnmacht,WDR,2014-05-11,Ballauf und Schenk,60,Andreas Knaup,Thomas Jauch,
912,Alle meine Jungs,Radio Bremen,2014-05-18,Lürsen und Stedefreund,30,"Erol Yesilkaya, Boris Dennulat, Matthias Tuchmann",Florian Baxmeyer,
913,Freigang,SWR,2014-06-09,Lannert und Bootz,14,"Martin Eigler, Sönke Lars Neuwöhner",Martin Eigler,
914,Paradies,ORF,2014-08-31,Eisner und Fellner,33,Uli Brée,Harald Sicheritz,
915,Verfolgt,SRF,2014-09-07,Flückiger und Ritschard,7,Martin Maurer,Tobias Ineichen,
916,Der Wüstensohn,BR,2014-09-14,Batic und Leitmayr,68,"Alex Buresch, Matthias Pacht",Rainer Kaufmann,Günter-Strack-Fernsehpreis 2015 an Yasin el Harrouk
917,Mord ist die beste Medizin,WDR,2014-09-21,Thiel und Boerne,26,Dorothee Schön,Thomas Jauch,
918,Wahre Liebe,WDR,2014-09-28,Ballauf und Schenk,61,Maxim Leo,André Erkau,"Letzte Folge mit Christian Tasche, der während der Dreharbeiten verstorben ist."
919,Winternebel,SWR/SRF,2014-10-05,"Blum, Perlmann und Lüthi",27,Jochen Greve,Patrick Winczewski,
920,Im Schmerz geboren,HR,2014-10-12,Murot und Wächter,4,Michael Proehl,Florian Schwarz,"Premiere und Bernd Burgemeister Fernsehpreis beim Filmfest München 2014. Medienkulturpreis beim Festival des deutschen Films 2014, zwei Goldene Kameras 2015, Grimme-Preis 2015. Stellte mit ca. 50 getöteten Personen einen neuen „Leichenrekord“ auf. Team ermittelt in Wiesbaden und Frankfurt am Main."
921,Blackout,SWR,2014-10-26,"Odenthal, Kopper und Stern",60,"Eva Zahn, Volker A. Zahn",Patrick Winczewski,Fallanalytikerin Johanna Stern (Lisa Bitter) ergänzt das Team
922,Vielleicht,RBB,2014-11-16,Stark,37,Klaus Krämer,Klaus Krämer,"Letzter Fall für Hauptkommissar Stark, Ausstrahlung im Rahmen der ARD-Themenwoche „Toleranz“[45]"
923,Eine Frage des Gewissens,SWR,2014-11-23,Lannert und Bootz,15,"Sönke Lars Neuwöhner, Sven Poser",Till Endemann,
924,Die Feigheit des Löwen,NDR,2014-11-30,Falke und Lorenz,4,Friedrich Ani,Marvin Kren,"Uraufgeführt am 28. September 2014 beim Filmfest Hamburg,[46] Team ermittelt in Oldenburg"
925,Der sanfte Tod,NDR,2014-12-07,Lindholm,22,Alexander Adolph,Alexander Adolph,
926,Der Maulwurf,MDR,2014-12-21,"Funck, Schaffert und Grewel",2,"Michael B. Müller, Leo P. Ard",Johannes Grieser,Letzter Fall des gesamten Teams
927,Weihnachtsgeld,SR,2014-12-26,Stellbrink und Marx,4,Michael Illner,Zoltan Spirandelli,Event-Tatort Weihnachten 2014
928,Das verkaufte Lächeln,BR,2014-12-28,Batic und Leitmayr,69,Holger Joos,Andreas Senn,
929,Der Irre Iwan,MDR,2015-01-01,Lessing und Dorn,2,"Murmel Clausen, Andreas Pflüger",Richard Huber,
930,Deckname Kidon,ORF,2015-01-04,Eisner und Fellner,34,Max Gruber,Thomas Roth,
931,Hydra,WDR,2015-01-11,"Faber, Bönisch, Dalay und Kossik",5,Jürgen Werner,Nicole Weegmann,
932,Die Sonne stirbt wie ein Tier,SWR,2015-01-18,"Odenthal, Kopper und Stern",61,Harald Göckeritz,Patrick Winczewski,
933,Borowski und der Himmel über Kiel,NDR,2015-01-25,Borowski und Brandt,24,Rolf Basedow,Christian Schwochow,Uraufgeführt am 27. September 2014 beim Filmfest Hamburg;[47]Günter-Strack-Fernsehpreis 2015 an Elisa Schlott
934,Freddy tanzt,WDR,2015-02-01,Ballauf und Schenk,62,"Jürgen Werner, Andreas Knaup",Andreas Kleinert,
935,Château Mort,SWR/SRF,2015-02-08,"Blum, Perlmann und Lüthi",28,Stefan Dähnert,Marc Rensing,
936,Blutschuld,MDR,2015-02-15,Saalfeld und Keppler,20,Stefan Kornatz,Stefan Kornatz,
937,Das Haus am Ende der Straße,HR,2015-02-22,Steier,7,"Michael Proehl, Erol Yesilkaya",Sebastian Marka,Letzter Fall für KHK Steier
938,Grenzfall,ORF,2015-03-08,Eisner und Fellner,35,Rupert Henning,Rupert Henning,
939,Die Wiederkehr,Radio Bremen,2015-03-15,Lürsen und Stedefreund,31,"Matthias Tuchmann, Stefanie Veith",Florian Baxmeyer,
940,Das Muli,RBB,2015-03-22,Rubin und Karow,1,Stefan Kolditz,Stephan Wagner,Neues Team für Berlin
941,Borowski und die Kinder von Gaarden,NDR,2015-03-29,Borowski und Brandt,25,"Eva Zahn, Volker A. Zahn",Florian Gärtner,
942,"Frohe Ostern, Falke",NDR,2015-04-06,Falke und Lorenz,5,Thomas Stiller,Thomas Stiller,Premiere am 12./13. September 2014 auf dem Oldenburger Filmfest. Event-Tatort Ostern 2015. Team ermittelt in Hamburg.
943,Der Himmel ist ein Platz auf Erden,BR,2015-04-12,"Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",1,"Max Färberböck, Catharina Schuchmann",Max Färberböck,Erster Fall des neuen Teams für Franken (erster Fall in Nürnberg).
944,Dicker als Wasser,WDR,2015-04-19,Ballauf und Schenk,63,Norbert Ehry,Kaspar Heidelbach,
945,Niedere Instinkte,MDR,2015-04-26,Saalfeld und Keppler,21,Sascha Arango,Claudia Garde,Letzter Fall für Saalfeld und Keppler.[48]
946,Schwerelos,WDR,2015-05-03,"Faber, Bönisch, Dalay und Kossik",6,Ben Braeunlich,Züli Aladağ,
947,Kälter als der Tod,HR,2015-05-17,Janneke und Brix,1,"Michael Proehl, Matthias Tuchmann",Florian Schwarz,Erster Fall des neuen Frankfurter Teams.
948,Roomservice,SWR,2015-05-25,"Odenthal, Kopper und Stern",62,"Stefan Dähnert, Patrick Brunken",Tim Trageser,
949,Erkläre Chimäre,WDR,2015-05-31,Thiel und Boerne,27,"Jan Hinter, Stefan Cantz",Kaspar Heidelbach,
950,Gier,ORF,2015-06-07,Eisner und Fellner,36,Verena Kurth,Robert Dornhelm,
951,"Wer Wind erntet, sät Sturm!",Radio Bremen,2015-06-14,Lürsen und Stedefreund,32,"Wilfried Huismann, Dirk Morgenstern, Boris Dennulat",Florian Baxmeyer,Stuntkoordinator Ronnie Paul wurde mit dem Preis der Deutschen Akademie für Fernsehen in der Kategorie „Stunts“ ausgezeichnet
952,Der Inder,SWR,2015-06-21,Lannert und Bootz,16,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,
953,Schutzlos,SRF,2015-07-05,Flückiger und Ritschard,8,"Manuel Flurin Hendry, Josy Meier, Eveline Stähelin, Waltraud Ehrhardt, Peter Obrist",Manuel Flurin Hendry,
954,Ihr werdet gerichtet,SRF,2015-09-06,Flückiger und Ritschard,9,Urs Bühler,Florian Froschmayer,
955,Hinter dem Spiegel,HR,2015-09-13,Janneke und Brix,2,Erol Yesilkaya,Sebastian Marka,
956,Die letzte Wiesn,BR,2015-09-20,Batic und Leitmayr,70,"Stefan Holtz, Florian Iwersen",Marvin Kren,
957,Verbrannt,NDR,2015-10-11,Falke und Lorenz,6,Stefan Kolditz,Thomas Stuber,Letzter Fall für Petra Schmidt-Schaller als Kommissarin Katharina Lorenz. Vorpremiere am 30. September 2015 in zahlreichen Kinos.[49] Team ermittelt in Salzgitter.
958,Kollaps,WDR,2015-10-18,"Faber, Bönisch, Dalay und Kossik",7,Jürgen Werner,Dror Zahavi,
959,Preis des Lebens,SWR,2015-10-25,Lannert und Bootz,17,Holger Karsten Schmidt,Roland Suso Richter,
960,Côte d’Azur,SWR,2015-11-01,Blum und Perlmann,29,Wolfgang Stauch,Ed Herzog,
961,Schwanensee,WDR,2015-11-08,Thiel und Boerne,28,"Christoph Silber, Thorsten Wettcke, André Erkau",André Erkau,"Mit 13,63 Millionen Zuschauern die erfolgreichste Tatort-Folge seit 1992."
962,Ätzend,RBB,2015-11-15,Rubin und Karow,2,"Mark Monheim, Stephan Wagner",Dror Zahavi,
963,Spielverderber,NDR,2015-11-22,Lindholm,23,"Hartmut Schoen, Susanne Schneider",Hartmut Schoen,
964,Borowski und die Rückkehr des stillen Gastes,NDR,2015-11-29,Borowski und Brandt (Gastauftritt Jung),26,Sascha Arango,Claudia Garde,"Fortsetzung der Folge Borowski und der stille Gast (Folge 842), zweiter Gastauftritt von Lars Eidinger als „Kai Korthals“"
965,Einmal wirklich sterben,BR,2015-12-06,Batic und Leitmayr,71,Claus Cornelius Fischer,Markus Imboden,
966,LU,SWR,2015-12-13,"Odenthal, Kopper und Stern",63,Dagmar Gabler,Jobst Oetzmann,
967,Benutzt,WDR,2015-12-26,Ballauf und Schenk,64,Jens Maria Merz,Dagmar Seume,
968,Wer bin ich?,HR,2015-12-27,Murot und Wächter,5,Bastian Günther,Bastian Günther,"Team ermittelt in Frankfurt am Main, Tatort-Gaststars: Martin Wuttke (als er selbst), Margarita Broich und Wolfram Koch (in ihren Paraderollen)"
969,Der große Schmerz,NDR,2016-01-01,Tschiller und Gümer,3,Christoph Darnstädt,Christian Alvart,"1. Teil einer Doppelfolge. Gastauftritt von Helene Fischer, letzte Folge mit Stefanie Stappenbeck als Tschillers Exfrau Isabella"
970,Fegefeuer,NDR,2016-01-03,Tschiller und Gümer,4,Christoph Darnstädt,Christian Alvart,"2. Teil einer Doppelfolge, die ursprünglich Ende November 2015 gesendet werden sollte, dann aber aufgrund der thematischen Nähe zur Pariser Anschlagsserie auf Neujahr und 3. Januar 2016 verlegt wurde."
971,Rebecca,SWR,2016-01-10,Blum und Perlmann,30,Marco Wiersch,Umut Dağ,
972,Totenstille,SR,2016-01-24,Stellbrink und Marx,5,Peter Probst,Zoltan Spirandelli,
973,Hundstage,WDR,2016-01-31,"Faber, Bönisch, Dalay und Kossik",8,Christian Jeltsch,Stephan Wagner,
974,Sternschnuppe,ORF,2016-02-07,Eisner und Fellner,37,Uli Brée,Michi Riebl,
975,Du gehörst mir,SWR,2016-02-14,"Odenthal, Kopper und Stern",64,Jürgen Werner,Roland Suso Richter,
976,Im gelobten Land,SWR,2016-02-21,Lannert und Bootz,18,Christian Jeltsch,Züli Aladağ,
977,Kartenhaus,WDR,2016-02-28,Ballauf und Schenk,65,Jürgen Werner,Sebastian Ko,
978,Auf einen Schlag,MDR,2016-03-06,"Sieland, Gorniak, Mohr und Schnabel",1,Ralf Husmann,Richard Huber,Neues Team für Dresdeneinzige Folge mit Jella Haase als Kriminalkommissar-Anwärterin Maria Magdalena Mohr
979,Kleine Prinzen,SRF,2016-03-13,Flückiger und Ritschard,10,Stefan Brunner,Markus Welter,
980,Zorn Gottes,NDR,2016-03-20,Falke und Grosz,7,Florian Oeller,Özgür Yıldırım,"Erster Fall für Franziska Weisz als Oberkommissarin Julia Grosz, Team ermittelt in Hannover"
981,Fünf Minuten Himmel,SWR,2016-03-28,Berlinger,1,Thomas Wendrich,Katrin Gebbe,
982,Mia san jetz da wo’s weh tut,BR,2016-04-03,Batic und Leitmayr,72,"Max Färberböck, Catharina Schuchmann",Max Färberböck,
983,Die Geschichte vom bösen Friederich,HR,2016-04-10,Janneke und Brix,3,Volker Einrauch,Hermine Huntgeburth,
984,Der treue Roy,MDR,2016-04-24,Lessing und Dorn,3,"Murmel Clausen, Andreas Pflüger",Gregor Schnitzler,
985,Narben,WDR,2016-05-01,Ballauf und Schenk,66,Rainer Butt,Torsten C. Fischer,
986,Ein Fuß kommt selten allein,WDR,2016-05-08,Thiel und Boerne,29,"Jan Hinter, Stefan Cantz",Thomas Jauch,
987,Der hundertste Affe,Radio Bremen,2016-05-16,Lürsen und Stedefreund,33,Christian Jeltsch,Florian Baxmeyer,Erster Fall mit Linda Selb
988,"Das Recht, sich zu sorgen",BR,2016-05-22,"Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",2,Beate Langmaack,Andreas Senn,Team ermittelt in Würzburg.
989,Wir – Ihr – Sie,RBB,2016-06-05,Rubin und Karow,3,Dagmar Gabler,Torsten C. Fischer,
990,Durchgedreht,WDR,2016-08-21,Ballauf und Schenk,67,Norbert Ehry,Dagmar Seume,
991,HAL,SWR,2016-08-28,Lannert und Bootz,19,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,Premiere am 8. Juli 2016 auf dem SWR Open-Air-Sommerfestival in Mainz.
992,Die Kunst des Krieges,ORF,2016-09-04,Eisner und Fellner,38,Thomas Roth,Thomas Roth,
993,Freitod,SRF,2016-09-18,Flückiger und Ritschard,11,"Eveline Stähelin, Josy Meier",Sabine Boss,
994,Feierstunde,WDR,2016-09-25,Thiel und Boerne,30,Elke Schuch,Lars Jessen,
995,Der König der Gosse,MDR,2016-10-02,"Sieland, Gorniak und Schnabel",2,"Ralf Husmann, Mika Kallwass",Dror Zahavi,
996,Zahltag,WDR,2016-10-09,"Faber, Bönisch, Dalay und Kossik",9,Jürgen Werner,Thomas Jauch,
997,Die Wahrheit,BR,2016-10-23,Batic und Leitmayr,73,Erol Yesilkaya,Sebastian Marka,"eine der wenigen Folgen, in denen der Täter nicht gefasst wird – Fortsetzung in Folge 1021"
998,Echolot,Radio Bremen,2016-10-30,Lürsen und Stedefreund,34,"Christine Otto, Peter Henning","Claudia Prietzel, Peter Henning",Ausstrahlung im Rahmen der ARD-Themenwoche „Zukunft der Arbeit“
999,Borowski und das verlorene Mädchen,NDR,2016-11-06,Borowski und Brandt,27,Charlotte I. Pehlivani,Raymond Ley,
1000,Taxi nach Leipzig,NDR,2016-11-13,Borowski / Lindholm (Gastauftritt Kommissar a. D. Markowitz und Kommissarin a. D. Wiegand),28 /24,Alexander Adolph,Alexander Adolph,Gastauftritt Oberleutnant Peter Klaus aus Folge 1
1001,Es lebe der Tod,HR,2016-11-20,Murot und Wächter,6,Erol Yesilkaya,Sebastian Marka,Team ermittelt in Frankfurt am Main und Wiesbaden.
1002,Wofür es sich zu leben lohnt,SWR/SRF,2016-12-04,"Blum, Perlmann und Lüthi",31,"Sathyan Ramesh, Aelrun Goette",Aelrun Goette,"Letzter Fall für das Team aus Konstanz, Film wurde auf dem SWR-Sommerfestival 2016 uraufgeführt"
1003,Dunkelfeld,RBB,2016-12-11,Rubin und Karow,4,Stefan Kolditz,Christian von Castelberg,
1004,Wendehammer,HR,2016-12-18,Janneke und Brix,4,"Stephan Brüggenthies, Andrea Heller",Markus Imboden,
1005,Klingelingeling,BR,2016-12-26,Batic und Leitmayr,74,Dinah Marte Golch,Markus Imboden,
1006,Land in dieser Zeit,HR,2017-01-08,Janneke und Brix,5,"Khyana el Bitar, Dörte Franke, Stephan Brüggenthies",Markus Imboden,
1007,Wacht am Rhein,WDR,2017-01-15,Ballauf und Schenk,68,Jürgen Werner,Sebastian Ko,
1008,Schock,ORF,2017-01-22,Eisner und Fellner,39,Rupert Henning,Rupert Henning,
1009,Söhne und Väter,SR,2017-01-29,Stellbrink und Marx,6,"Michael Vershinin, Zoltan Spirandelli",Zoltan Spirandelli,
1010,Der scheidende Schupo,MDR,2017-02-05,Lessing und Dorn,4,"Murmel Clausen, Andreas Pflüger",Sebastian Marka,
1011,Tanzmariechen,WDR,2017-02-19,Ballauf und Schenk,69,Jürgen Werner,Thomas Jauch,
1012,Babbeldasch,SWR,2017-02-26,"Odenthal, Kopper und Stern",65,Sönke Andresen,Axel Ranisch,Dieser Film wurde vollständig improvisiert.
1013,Kriegssplitter,SRF,2017-03-05,Flückiger und Ritschard,12,"Stefan Brunner, Lorenz Langenegger",Tobias Ineichen,
1014,Nachtsicht,Radio Bremen,2017-03-12,Lürsen und Stedefreund,35,"Matthias Tuchmann, Stefanie Veith",Florian Baxmeyer,
1015,Borowski und das dunkle Netz,NDR,2017-03-19,Borowski und Brandt,29,Thomas Wendrich,David Wnendt,
1016,Nachbarn,WDR,2017-03-26,Ballauf und Schenk,70,Christoph Wortberg,Torsten C. Fischer,
1017,Fangschuss,WDR,2017-04-02,Thiel und Boerne,31,"Stefan Cantz, Jan Hinter",Buddy Giovinazzo,
1018,Am Ende geht man nackt,BR,2017-04-09,"Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",3,Holger Karsten Schmidt,Markus Imboden,Team ermittelt in Bamberg.
1019,Sturm,WDR,2017-04-17,"Faber, Bönisch, Dalay und Kossik",10,"Sönke Lars Neuwöhner, Martin Eigler",Richard Huber,"Letzter Fall für Kriminaloberkommissar Kossik, Ausstrahlung war ursprünglich für Neujahr 2017 geplant, wurde jedoch aus Gründen des Terroranschlags in Berlin auf unbestimmte Zeit und später auf 17.4. verlegt"
1020,Wehrlos,ORF,2017-04-23,Eisner und Fellner,40,Uli Brée,Christopher Schier,
1021,Der Tod ist unser ganzes Leben,BR,2017-04-30,Batic und Leitmayr,75,Holger Joos,Philip Koch,Fortsetzung von Folge 997
1022,"Die Liebe, ein seltsames Spiel",BR,2017-05-21,Batic und Leitmayr,76,Katrin Bühlig,Rainer Kaufmann,
1023,Amour Fou,RBB,2017-06-05,Rubin und Karow,5,Christoph Darnstädt,Vanessa Jopp,
1024,Level X,MDR,2017-06-11,"Sieland, Gorniak und Schnabel",3,Richard Kropf,Gregor Schnitzler,
1025,Borowski und das Fest des Nordens,NDR,2017-06-18,Borowski und Brandt,30,"Markus Busch, Henning Mankell (Vorlage)",Jan Bonny,Letzter Fall mit KK Sarah Brandt. Kino-Premiere am 1. Oktober 2016 auf dem Filmfest Hamburg.[54][55]
1026,Virus,ORF,2017-08-27,Eisner und Fellner,41,Rupert Henning,Barbara Eder,
1027,Stau,SWR,2017-09-10,Lannert und Bootz,20,"Dietrich Brüggemann, Daniel Bickermann",Dietrich Brüggemann,"Premiere am 2. Juni 2017 auf dem SWR Sommerfestival in Stuttgart.[56] Nominiert für den Adolf-Grimme-Preis 2018, Gewinner des Deutschen FernsehKrimipreises 2018."
1028,Zwei Leben,SRF,2017-09-17,Flückiger und Ritschard,13,"Mats Frey, Felix Benesch",Walter Weber,
1029,Goldbach,SWR,2017-10-01,Tobler und Berg,1,Bernd Lange,Robert Thalheim,Kino-Premiere am 2. September 2017 beim Festival des Deutschen Films in Ludwigshafen[57] am 20. September 2017 bei „Tatort Eifel – Das Krimifestival“ in Daun[58] und am 26. September als Preview im Studio Freiburg des SWR.[59][60] Erster Fall des Schwarzwald-Teams.
1030,Hardcore,BR,2017-10-08,Batic und Leitmayr,77,"Bartosz Grudziecki, Philip Koch",Philip Koch,
1031,Der rote Schatten,SWR,2017-10-15,Lannert und Bootz,21,"Raul Grothe[61], Dominik Graf",Dominik Graf,Premiere am 23. September 2017 bei moving history – Festival des historischen Films in Potsdam[62][63]
1032,Zurück ins Licht,Radio Bremen,2017-10-22,Lürsen und Stedefreund,36,"Christian Jeltsch, Olaf Kraemer",Florian Baxmeyer,Premiere am 8. Juni 2017 auf dem Filmfest in Emden[64]
1033,Fürchte dich,HR,2017-10-29,Janneke und Brix,6,"Andy Fetscher, Christian Mackrodt",Andy Fetscher,Filmpremiere am 23. Juni 2017 auf dem Münchner Filmfest[65] und am 8. September 2017 beim Festival des Deutschen Films in Ludwigshafen[66]
1034,Der Fall Holdt,NDR,2017-11-05,Lindholm,25,Jan Braren,Anne Zohra Berrached,Premiere am 14. September 2017 auf dem Filmfest in Oldenburg[67] sowie am 2. November 2017 im Passage Kino Hamburg
1035,Auge um Auge,MDR,2017-11-12,"Sieland, Gorniak und Schnabel",4,"Ralf Husmann, Peter Probst",Franziska Meletzky,
1036,Gott ist auch nur ein Mensch,WDR,2017-11-19,Thiel und Boerne,32,"Christoph Silber, Thorsten Wettcke",Lars Jessen,
1037,Böser Boden,NDR,2017-11-26,Falke und Grosz,8,"Georg Lippert, Marvin Kren",Sabine Bernardi,Team ermittelt in Uetze (Niedersachsen)
1038,Dein Name sei Harbinger,RBB,2017-12-10,Rubin und Karow,6,"Matthias Tuchmann, Michael Comtesse",Florian Baxmeyer,
1039,Dunkle Zeit,NDR,2017-12-17,Falke und Grosz,9,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,Team ermittelt in Hamburg
1040,Der wüste Gobi,MDR,2017-12-26,Lessing und Dorn,5,"Murmel Clausen, Andreas Pflüger",Ed Herzog,
1041,Mord ex Machina,SR,2018-01-01,Stellbrink und Marx,7,Hendrik Hölzemann,Christian Theede,
1042,Kopper,SWR,2018-01-07,"Odenthal, Kopper und Stern",66,Patrick Brunken,Roland Suso Richter,Letzter Fall für Kopper
1043,Die Faust,ORF,2018-01-14,Eisner und Fellner,42,Mischa Zickler,Christopher Schier,
1044,Bausünden,WDR,2018-01-21,Ballauf und Schenk,71,"Uwe Erichsen, Wolfgang Wysocki",Kaspar Heidelbach,letzte Folge mit Assistent Tobias Reisser (Patrick Abozen)
1045,Déjà-vu,MDR,2018-01-28,"Sieland, Gorniak und Schnabel",5,"Mark Monheim, Stephan Wagner",Dustin Loose,
1046,Tollwut,WDR,2018-02-04,"Faber, Bönisch und Dalay",11,Jürgen Werner,Dror Zahavi,"Mit Jan Pawlak als verdeckter Ermittler, Gastauftritt von Florian Bartholomäi als „Markus Graf“"
1047,Der kalte Fritte,MDR,2018-02-11,Lessing und Dorn,6,Murmel Clausen,Titus Selge,
1048,Meta,RBB,2018-02-18,Rubin und Karow,7,Erol Yesilkaya,Sebastian Marka,
1049,Borowski und das Land zwischen den Meeren,NDR,2018-02-25,Borowski,31,"Peter Bender, Ben Braeunlich, Sven Bohse",Sven Bohse,Borowski ermittelt auf der fiktiven Insel Suunholt.
1050,Waldlust,SWR,2018-03-04,Odenthal und Stern,67,Sönke Andresen,Axel Ranisch,Team ermittelt in Loßburg im Schwarzwald.
1051,Im toten Winkel,Radio Bremen,2018-03-11,Lürsen und Stedefreund,37,Katrin Bühlig,Philip Koch,
1052,Mitgehangen,WDR,2018-03-18,Ballauf und Schenk,72,Johannes Rotter,Sebastian Ko,Assistent Norbert Jütte (Roland Riebeling) komplettiert das Team
1053,Zeit der Frösche,SWR,2018-04-02,Berlinger und Rascher,2,"Marco Wiersch, Florian Oeller (Vorlage)",Markus Imboden,"Hauptkommissar Martin Rascher (Sebastian Blomberg) ergänzt das Team, Event-Tatort Ostern 2018, neues Einsatzgebiet Mainz"
1054,Unter Kriegern,HR,2018-04-08,Janneke und Brix,7,Volker Einrauch,Hermine Huntgeburth,
1055,Ich töte niemand,BR,2018-04-15,"Voss, Ringelhahn, Goldwasser, Fleischer und Schatz",4,"Max Färberböck, Catharina Schuchmann",Max Färberböck,Team ermittelt in Nürnberg.
1056,Alles was Sie sagen,NDR,2018-04-22,Falke und Grosz,10,"Arne Nolting, Jan Martin Scharf",Özgür Yildirim,Team ermittelt in Lüneburg
1057,Familien,WDR,2018-05-06,Ballauf und Schenk,73,Christoph Wortberg,Christine Hartmann,
